Название,ЦЕНА,ОПИСАНИЕ,ДОП.ПРОДАЖА,КАТЕГОРИЯ,ФОТОГРАФИЯ
"Ассорти ""Вай какая закуска""",625,"Ассорти любимейших
грузинских традиционных
холодных закусок на 1 тарелке.","шотис пури, хачапури",Холодные закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Пхали из свеклы,345,"Пхали — это свекла или шпинат,перетертые грецкие орехи с пряностями.","шотис пури, хачапури",Холодные закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Пхали из шпината,370,"Пхали — это свекла или шпинат,перетертые грецкие орехи с пряностями.","шотис пури, хачапури",Холодные закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Рулетики из баклажанов,435,"Рулетики из запеченных слайсов
баклажана с пряной начинкой из
грецкого ореха и специй.","шотис пури, хачапури",Холодные закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Овощная тарелка,425,"
Легкая овощная закуска к основ-
ным блюдам и напиткам.","соус майонез, сметана,
сметано-чесночный",Холодные закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Соленья по-аджарски,450,"Традиционные грузинские
домашние соленья, которые станут
украшением любого застолья.",,Холодные закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Рулетики из перца,550,"Рулетики из сладкого запеченного
перца с начинкой из нежного
сливочного сыра с ароматным
чесноком.","шотис пури, хачапури",Холодные закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Селедочка с запеченым   картофелем,455,"Слабо-соленая сельдь,
с картофелем запеченным
в специях и украшенная кольцами
красного лука и зеленью.",,Холодные закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Сациви из курицы,475,"Традиционная закуска из нежной
курицы в не менее нежном орехо-
вом соусе баже с добавлением пря-
ного масла со специями.","шотис пури, хачапури",Холодные закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Тарелка любимых кавказских сыров,635,"Традиционные кавказские
сыры: копченый сулугуни,
молочный сулугуни и домашний
имеретинский. Подается с нежным
сладким абрикосовым вареньем и
хорошо подойдет к красному вину.","шотис пури,
хачапури, мед",Холодные закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Мясная тарелка,745,"Домашняя закуска из буженины,
куриного рулета с черносливом
и грецким орехом и свиной
язык, которые хорошо дополнят
застолье.","соус сацибели, шотис
пури, хачапури",Холодные закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Тарелка грузинских деликатесов,805,"Пряные и соленые деликатесы суд-
жук, бастурма и казы подойдут к
совершенно разным напиткам, в
том числе пиву или чаче.","шотис пури, хачапури",Холодные закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Лобио красное,345,"Традиционная закуска из красной
фасоли , томатов, с луком и
кинзой.","шотис пури, хачапури",Горячие закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Долма,485,"Нежный фарш из говядины
свинины с рисом в виноградных
листьев подается с сметано-
чесночным соусом.","шотис пури , хачапури, соус
сметана, майонез",Горячие закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Аджапсандали,480,"Традиционное овощное блюдо из
баклажанов, моркови, болгарского
и грузинских пряностей.","шотис пури, хачапури",Горячие закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Рачули,505,"Классическое грузинское лобио из
красной фасоли, но с добавлением
свинины, что делает блюдо еще бо-
лее питательным.","шотис пури, хачапури",Горячие закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Жареный сыр с инжирным варением,530,"Легкая сладкая горячая закуска.
Хорошо подойдет к любим напит-
кам, в том числе к хорошему вину.",мёд,Горячие закуски,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Солнце Тбилисо,475,"Сочетание , нежной
говядины,овощей,картофеля
пай , моркови по восточному и
домашнего майонеза является
простым, но очень приятным.","шотис пури, хачапури",Салаты,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
грузинский,530,"Традиционный грузинский салат
из крупно нарезанных огурцов
и томатов, и ореховой заправки.","шотис пури, хачапури",Салаты,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Газапхули,365,"Сочный салат из зеленой фасоли,
маринованной капусты, болгарско-
го перца, томатов, с характерной
кислинкой винного уксуса и пря-
ности заправки.","шотис пури, хачапури",Салаты,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Цезаршвили,485,"Нежное куриное филе, листья
салата айсберг, крутоны ( пряные
сухари) сыр сулугуни, домашняя
заправка цезарь.","шотис пури, хачапури",Салаты,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Пряный,530,"Салат с нежной говядиной и крас-
ной фасолью, маринованным лу-
ком, кинзой заправляется майоне-
зом.","шотис пури, хачапури",Салаты,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
Ацецили ,561,"Необыкновенный грузинский са-
лат, где сочетание запеченых ку-
риного филе, болгарского ерца,
баклажанов и специй и грецкого
ореха дают неповторимый вкус.","шотис пури, хачапури",Салаты,https://i.ibb.co/RgkNCRw/a47e78a1815811ef8684c28381213215.png
